filename,latency
32a.sql,20.937
31b.sql,49.275
16d.sql,611.995
29c.sql,85.68
3c.sql,524.44
23c.sql,1014.592
6b.sql,495.243
11d.sql,1256.897
10b.sql,317.053
10c.sql,316.122
13b.sql,901.386
26a.sql,250.615
8b.sql,303.231
6a.sql,22.31
28c.sql,11.423
3a.sql,309.406
11c.sql,0.01
9b.sql,297.5
33b.sql,0.079
29b.sql,67.162
13a.sql,10.962
17e.sql,2607.622
23b.sql,808.375
15c.sql,1487.404
17d.sql,729.747
30a.sql,1257.235
2c.sql,1083.384
9d.sql,467.183
22b.sql,505.061
5c.sql,664.065
27b.sql,0.011
17a.sql,2391.549
15d.sql,1614.322
21a.sql,0.011
12b.sql,154.479
1c.sql,164.299
12a.sql,386.956
14b.sql,259.657
6f.sql,1052.434
4a.sql,1094.692
8c.sql,572.253
19d.sql,458.966
19c.sql,454.534
10a.sql,330.121
5b.sql,429.162
1b.sql,149.429
2b.sql,1125.518
1a.sql,157.437
13d.sql,36.37
17f.sql,2219.021
6e.sql,19.258
8a.sql,306.886
32b.sql,482.474
21b.sql,0.011
24b.sql,50.427
16b.sql,3467.774
25c.sql,888.892
25b.sql,742.943
9a.sql,471.563
23a.sql,767.401
30b.sql,1071.176
18c.sql,909.63
1d.sql,148.611
19a.sql,449.46
21c.sql,0.011
16c.sql,630.13
20b.sql,256.796
17c.sql,660.84
27c.sql,0.033
20c.sql,261.224
11b.sql,144.793
33c.sql,28.162
29a.sql,66.416
12c.sql,1433.753
9c.sql,474.458
20a.sql,254.651
4c.sql,1478.841
15b.sql,57.454
25a.sql,773.668
6d.sql,1031.976
7c.sql,45.815
22d.sql,573.659
27a.sql,0.036
28b.sql,578.743
3b.sql,206.57
19b.sql,292.135
28a.sql,586.433
7a.sql,31.405
18b.sql,203.497
18a.sql,842.553
31c.sql,67.462
31a.sql,55.535
22c.sql,514.587
4b.sql,153.741
11a.sql,0.013
6c.sql,19.365
2a.sql,1169.515
26b.sql,249.762
22a.sql,504.698
13c.sql,899.864
30c.sql,48.894
7b.sql,30.999
15a.sql,768.006
33a.sql,37.973
16a.sql,382.54
26c.sql,264.733
17b.sql,662.896
14a.sql,497.55
14c.sql,548.89
2d.sql,1437.637
8d.sql,588.653
24a.sql,401.977
5a.sql,479.965
